Section,h[mm],b[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3],max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","αpl,z","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
RHS 350x250x8.8,350,250,8.8,13.2,8.8,314.8,102,17900,10700,28600,133,102,167.6,305.47,242.45,1020,853,32.86,53.55,20800,26.12,20773.88,527.04,1365.11,36.45,43188.87,12.3,1184.82,233.63,1221.89,969.82,436.04,275,1.198,1.137,42.45,60.05,2389.165,575.966,814.759,287.14,227.91,2389.165,80.1,1.18,10200,115.686,822.31
RHS 350x250x10.0,350,250,10,15,10,310,115,20100,11900,32000,132,102,166.8,343.8,272.65,1150,955,36.74,60.89,23400,38.09,23361.91,599.21,1525.97,36.4,48523.73,12.3,1333.11,262.41,1375.21,1090.6,480.5,312.5,1.196,1.142,48,68,2700.636,651.251,922.606,323.17,256.29,2700.636,90.3,1.17,11500,101.739,815.14
RHS 350x250x11.0,350,250,11,16.5,11,306,126,21900,13000,34900,132,101,166.2,375.14,297.3,1250,1040,40.76,67.08,25500,50.45,25449.55,659.39,1655.74,36.35,52866.24,12.3,1454.54,285.84,1500.57,1189.2,515,343.75,1.2,1.143,52.58,74.58,2957.57,713.391,1011.881,352.63,279.46,2957.57,98.9,1.17,12600,92.857,809.17
RHS 350x250x12.5,350,250,12.5,18.8,12.5,300,142,24400,14400,38800,131,101,165.4,421.14,333.4,1400,1160,45.53,75.58,28500,73.47,28426.53,749.69,1843.25,36.25,59202.04,12.4,1633.15,320.07,1684.54,1333.6,562.5,390.63,1.203,1.15,59.38,84.37,3338.494,805.584,1144.777,395.87,313.4,3338.494,111.5,1.17,14200,82.394,800.22
RHS 350x250x14.2,350,250,14.2,21.3,14.2,293.2,160,27200,16000,43200,130,100,164,471.79,373.06,1550,1280,51.45,85.66,31900,106.78,31793.22,852.01,2045.7,36.12,66120.51,12.4,1830.6,357.52,1887.18,1492.22,610.36,443.75,1.218,1.166,66.97,95.37,3763.715,908.593,1293.917,443.49,350.67,3763.715,125.6,1.16,16000,72.5,790.09
RHS 350x250x16.0,350,250,16,24,16,286,179,30000,17700,47700,129,99.3,162.8,523.75,413.6,1720,1410,58.24,96.05,35300,151.35,35148.65,960.17,2248.8,35.96,73136.22,12.4,2034.1,395.65,2094.99,1654.4,654.37,500,1.218,1.173,74.88,106.88,4206.428,1015.952,1450.119,492.32,388.78,4206.428,140.5,1.16,17900,64.804,779.36
RHS 400x150x6.3,400,150,6.3,9.4,6.3,374.8,67.3,13300,2850,16150,140,65.1,154.4,209.03,104.57,663,380,10.6,46.74,7600,8.87,7591.13,1494.29,673.33,65.81,98390.32,24.7,1495.05,319.62,836.13,418.28,442.5,70.88,1.261,1.101,18.11,49.61,1581.174,245.66,673.044,196.49,98.3,1581.174,52.8,1.08,6730,160.475,565.41
RHS 400x150x7.1,400,150,7.1,10.7,7.1,371.6,75.5,14800,3170,17970,140,64.7,154.2,233.95,116.77,740,422,11.91,52.25,8470,12.64,8457.36,1678.3,747.72,65.48,109578.87,24.7,1673.38,357.26,935.8,467.08,490.21,79.88,1.265,1.107,20.29,55.79,1775.179,275.314,756.968,219.91,109.76,1775.179,59.3,1.08,7550,143.046,561.02
RHS 400x150x8.0,400,150,8,12,8,368,84.8,16500,3510,20010,139,64.3,153.2,261.55,130.21,824,468,13.31,58.79,9420,17.99,9402.01,1883.5,828.61,65.11,121808.94,24.7,1870.84,398.81,1046.2,520.84,541.7,90,1.27,1.113,22.72,62.72,1991.607,308.259,850.968,245.86,122.4,1991.607,66.6,1.08,8480,127.358,556.09
RHS 400x150x8.8,400,150,8.8,13.2,8.8,364.8,92.9,18000,3800,21800,139,64,153,285.7,141.9,898,507,14.52,64.73,10300,23.84,10276.16,2064.2,898.09,64.77,132361.27,24.6,2043.56,435.02,1142.8,567.61,585.55,99,1.273,1.12,24.85,68.85,2182.365,337.174,934.155,268.56,133.39,2182.365,72.9,1.08,9290,116.254,551.71
RHS 400x150x10.0,400,150,10,15,10,360,105,20100,4230,24330,138,63.5,151.9,321.25,159,1010,564,16.4,72.94,11500,34.76,11465.24,2332.07,998.13,64.25,147624.25,24.6,2297.62,488.08,1285.01,636,648,112.5,1.272,1.128,28,78,2465.636,379.896,1058.283,301.98,149.46,2465.636,82.4,1.07,10500,101.905,545.14
RHS 400x150x11.0,400,150,11,16.5,11,356,115,21800,4560,26360,138,63,151.7,350.26,172.84,1090,609,17.86,79.75,12400,46.01,12353.99,2552.21,1077.77,63.81,159822.38,24.6,2504.72,531.12,1401.06,691.38,697.05,123.75,1.285,1.135,30.58,85.58,2699.07,414.901,1161.126,329.25,162.47,2699.07,90.3,1.07,11500,93.043,539.67
RHS 400x150x12.5,400,150,12.5,18.8,12.5,350,130,24400,5040,29440,137,62.4,150.5,392.74,192.74,1220,672,20.09,90.92,13800,66.96,13733.04,2876.89,1191.07,63.13,177226.29,24.5,2807.4,593.41,1570.95,771.72,765.63,140.63,1.288,1.148,34.37,96.88,3044.744,466.391,1314.374,369.17,181.35,3044.744,102.1,1.07,13000,82.308,531.47
RHS 400x150x14.2,400,150,14.2,21.3,14.2,343.2,146,27100,5550,32650,136,61.6,149.3,439.37,214.52,1360,740,22.58,102.6,15300,97.24,15202.76,3235.94,1310.88,62.33,195647.05,24.5,3138.72,661.41,1757.49,858.85,836.28,159.75,1.292,1.161,38.57,109.57,3430.015,523.269,1486.578,413.01,201.83,3430.015,114.6,1.06,14600,72.603,522.19
RHS 400x150x16.0,400,150,16,24,16,336,163,29800,6040,35840,135,60.9,148.1,487.02,236.47,1490,805,25.09,114.74,16800,137.69,16662.31,3604.97,1428.18,61.46,213632.12,24.4,3475.69,730.01,1948.08,946.62,903.17,180,1.307,1.176,42.88,122.88,3830.428,581.784,1667.203,457.8,222.45,3830.428,128,1.06,16300,65.031,512.36
RHS 400x200x6.3,400,200,6.3,9.4,6.3,374.8,73.6,15700,5380,21080,146,85.5,169.2,240.04,148.59,785,538,16.42,45.92,12600,9.7,12590.3,1283.02,917.07,65.22,104706.04,22.3,1605.34,331.68,960.14,594.36,442.5,126,1.223,1.105,24.41,49.61,1729.224,331.137,673.044,225.63,139.68,1729.224,57.8,1.18,7360,160.326,762.26
RHS 400x200x7.1,400,200,7.1,10.7,7.1,371.6,82.6,17500,5990,23490,146,85.1,169,268.82,166.2,877,599,18.42,51.43,14100,13.83,14086.17,1443.78,1021.18,65.02,116944.54,22.3,1798.73,371.18,1075.28,664.8,490.21,142,1.226,1.11,27.39,55.79,1942.029,371.645,756.968,252.69,156.23,1942.029,64.8,1.18,8260,142.857,757.47
RHS 400x200x8.0,400,200,8,12,8,368,92.8,19600,6660,26260,145,84.7,167.9,300.75,185.68,978,666,20.65,58.3,15700,19.7,15680.3,1623.92,1135.16,64.77,130423.31,22.3,2013.52,414.9,1203,742.71,541.7,160,1.23,1.115,30.72,62.72,2179.607,416.801,850.968,282.71,174.54,2179.607,72.8,1.18,9280,127.155,752.09
RHS 400x200x8.8,400,200,8.8,13.2,8.8,364.8,102,21300,7240,28540,145,84.4,167.8,328.73,202.69,1070,724,22.62,63.6,17200,26.12,17173.88,1783.37,1233.75,64.55,142145.66,22.3,2201.99,453.15,1314.93,810.78,585.55,176,1.229,1.12,33.65,68.85,2389.165,456.57,934.155,309.01,190.53,2389.165,80.1,1.18,10200,115.686,747.31
RHS 400x200x10.0,400,200,10,15,10,360,115,23900,8080,31980,144,83.9,166.7,370,227.7,1200,808,25.54,72.19,19300,38.09,19261.91,2021.28,1376.91,64.21,159269.52,22.3,2480.36,509.4,1480.01,910.8,648,200,1.233,1.127,38,78,2700.636,515.574,1058.283,347.8,214.04,2700.636,90.3,1.17,11500,101.739,740.14
RHS 400x200x11.0,400,200,11,16.5,11,356,126,26000,8760,34760,144,83.4,166.4,403.75,248.07,1300,876,27.97,79.26,21000,50.45,20949.55,2218.27,1491.98,63.92,173115.18,22.3,2708.37,555.26,1615.01,992.26,697.05,220,1.242,1.133,41.58,85.58,2957.57,564.146,1161.126,379.53,233.18,2957.57,98.9,1.17,12600,92.857,734.17
RHS 400x200x12.5,400,200,12.5,18.8,12.5,350,142,29100,9740,38840,143,82.8,165.2,453.28,277.81,1450,974,31.58,90.08,23400,73.47,23326.53,2511.39,1657.54,63.46,193154.43,22.3,3043.64,622.31,1813.14,1111.25,765.63,250,1.25,1.141,46.87,96.88,3338.494,635.987,1314.374,426.09,261.14,3338.494,111.5,1.17,14200,82.394,725.22
RHS 400x200x14.2,400,200,14.2,21.3,14.2,343.2,160,32400,10800,43200,142,82.1,164,507.85,310.37,1620,1080,35.67,101.8,26100,106.78,25993.22,2839.82,1835.29,62.92,214797.63,22.3,3413.78,695.78,2031.4,1241.5,836.28,284,1.254,1.15,52.77,109.57,3763.715,715.931,1486.578,477.38,291.75,3763.715,125.6,1.16,16000,72.5,715.09
RHS 400x200x16.0,400,200,16,24,16,336,179,35700,11800,47500,141,81.3,162.8,563.82,343.07,1790,1180,39.56,113.87,28900,151.35,28748.65,3182.79,2012.46,62.32,236463.32,22.3,3794.28,770.19,2255.28,1374.11,903.17,320,1.26,1.164,58.88,122.88,4206.428,798.868,1667.203,529.99,322.92,4206.428,140.5,1.16,17900,64.804,704.36
RHS 400x300x8.0,400,300,8,12,8,368,109,25700,16500,42200,154,123,197.1,379.15,311.61,1280,1100,36.27,55.62,31000,23.11,30976.89,567.08,1749.09,43.28,64568.36,12.4,1491.88,293.67,1516.6,1246.46,541.7,360,1.185,1.133,46.72,62.72,2555.607,633.884,850.968,356.4,292.92,2555.607,85.6,1.38,10900,126.606,1144.09
RHS 400x300x8.8,400,300,8.8,13.2,8.8,364.8,119,28100,18000,46100,153,123,196.3,414.8,340.78,1400,1200,39.83,61.29,33900,30.66,33869.34,624.22,1906.16,43.29,70595.76,12.4,1630.8,320.82,1659.19,1363.11,585.55,396,1.185,1.136,51.25,68.85,2802.765,695.363,934.155,389.91,320.33,2802.765,93.4,1.38,11900,115.966,1138.51
RHS 400x300x10.0,400,300,10,15,10,360,135,31500,20200,51700,153,122,195.7,467.5,383.85,1580,1350,45.16,69.21,38200,44.76,38155.24,710.13,2136.03,43.29,79491.59,12.4,1836.18,360.82,1870.01,1535.41,648,450,1.184,1.137,58,78,3170.636,786.928,1058.283,439.45,360.82,3170.636,106,1.37,13500,101.481,1130.14
RHS 400x300x11.0,400,300,11,16.5,11,356,148,34300,22000,56300,152,122,194.9,510.73,419.13,1720,1470,49.63,75.92,41700,59.32,41640.68,781.89,2322.43,43.28,86771.11,12.4,2004.69,393.48,2042.91,1676.54,697.05,495,1.188,1.141,63.58,85.58,3474.57,862.636,1161.126,480.08,393.99,3474.57,116.2,1.37,14800,92.568,1123.17
RHS 400x300x12.5,400,300,12.5,18.8,12.5,350,167,38500,24600,63100,152,121,194.3,574.38,471.02,1920,1640,56.19,86.43,46800,86.49,46713.51,889.83,2593.42,43.26,97460.92,12.4,2253.15,441.34,2297.51,1884.07,765.63,562.5,1.197,1.149,71.87,96.88,3925.994,975.181,1314.374,539.92,442.76,3925.994,131.1,1.37,16700,82.036,1112.72
RHS 400x300x14.2,400,300,14.2,21.3,14.2,343.2,189,43000,27400,70400,151,121,193.5,644.81,528.32,2150,1830,63.39,97.82,52500,125.87,52374.13,1012.54,2888.36,43.2,109239.42,12.5,2528.81,493.97,2579.24,2113.29,836.28,639,1.2,1.155,81.17,109.57,4431.115,1101.255,1486.578,606.12,496.62,4431.115,148.4,1.36,18900,71.958,1100.89
RHS 400x300x16.0,400,300,16,24,16,336,211,47500,30300,77800,150,120,192.1,717.42,587.27,2380,2020,71.24,109.4,58300,178.65,58121.35,1142.84,3186.93,43.11,121314.43,12.5,2814.14,547.84,2869.68,2349.09,903.17,720,1.206,1.163,90.88,122.88,4958.428,1233.035,1667.203,674.37,552.04,4958.428,165.6,1.36,21100,64.455,1088.36
RHS 450x150x8.0,450,150,8,12,8,418,92.8,22300,3910,26210,155,65,168.1,317.02,144.41,990,522,12.46,66.45,10900,19.7,10880.3,2673.29,936.22,80.48,203785.63,27.9,2532.11,547.55,1268.08,577.64,698.9,90,1.281,1.107,22.72,70.72,2179.607,308.259,959.51,298,135.74,2179.607,72.8,1.18,9280,127.155,627.09
RHS 450x150x8.8,450,150,8.8,13.2,8.8,414.8,102,24300,4240,28540,155,64.6,167.9,346.49,157.43,1080,566,13.62,72.89,11900,26.12,11873.88,2928.46,1015.15,80.06,221484.71,27.9,2766.52,597.51,1385.97,629.74,757.06,99,1.283,1.113,24.85,77.65,2389.165,337.174,1053.551,325.7,147.99,2389.165,80.1,1.18,10200,115.686,622.31
RHS 450x150x10.0,450,150,10,15,10,410,115,27200,4720,31920,154,64.1,166.8,389.95,176.5,1210,629,15.37,82.34,13300,38.09,13261.91,3306.34,1128.94,79.42,247106.76,27.8,3111.57,670.8,1559.81,706,840.5,112.5,1.289,1.122,28,88,2700.636,379.896,1193.96,366.56,165.91,2700.636,90.3,1.17,11500,101.739,615.14
RHS 450x150x11.0,450,150,11,16.5,11,406,126,29600,5100,34700,153,63.6,165.7,425.49,191.96,1320,680,16.78,90.47,14400,50.45,14349.55,3616.53,1219.66,78.87,267605.98,27.8,3393.02,730.34,1701.94,767.83,906.6,123.75,1.289,1.129,30.58,96.58,2957.57,414.901,1310.371,399.96,180.44,2957.57,98.9,1.17,12600,92.857,609.17
RHS 450x150x12.5,450,150,12.5,18.8,12.5,400,142,33100,5640,38740,153,63,165.5,477.62,214.22,1470,751,18.86,102.66,16100,73.47,16026.53,4073.44,1348.93,78.03,296895.63,27.7,3804.72,816.68,1910.49,857.66,1000,140.63,1.3,1.142,34.37,109.38,3338.494,466.391,1483.971,448.96,201.55,3338.494,111.5,1.17,14200,82.394,600.22
RHS 450x150x14.2,450,150,14.2,21.3,14.2,393.2,160,36800,6200,43000,152,62.2,164.2,535.03,238.63,1640,827,21.08,115.7,17800,106.78,17693.22,4577.99,1485.91,77.06,327964.99,27.6,4255.87,911.11,2140.13,955.27,1097.7,159.75,1.305,1.155,38.57,123.77,3763.715,523.269,1679.24,502.93,224.49,3763.715,125.6,1.16,16000,72.5,590.09
RHS 450x150x16.0,450,150,16,24,16,386,179,40600,6760,47360,151,61.5,163,593.89,263.27,1810,901,23.46,129.77,19600,151.35,19448.65,5095.82,1620.37,76.01,358390.27,27.5,4715.35,1006.65,2375.57,1053.82,1191.97,180,1.312,1.17,42.88,138.88,4206.428,581.784,1884.287,558.26,247.65,4206.428,140.5,1.16,17900,64.804,579.36
RHS 450x250x8.0,450,250,8,12,8,418,109,30100,12100,42200,166,106,197,405.42,270.35,1340,971,26.99,65.03,27100,23.11,27076.89,2013.3,1629.44,78.83,224820.15,23.1,2851.91,580.85,1621.68,1081.38,698.9,250,1.21,1.114,38.72,70.72,2555.607,525.343,959.51,381.09,254.12,2555.607,85.6,1.38,10900,126.606,1069.09
RHS 450x250x8.8,450,250,8.8,13.2,8.8,414.8,119,32800,13200,46000,166,105,196.4,443.56,295.52,1460,1060,29.68,71.17,29600,30.66,29569.34,2212.61,1774.62,78.65,245492.87,23.1,3121.42,635.08,1774.23,1182.07,757.06,275,1.215,1.115,42.45,77.65,2802.765,575.966,1053.551,416.94,277.79,2802.765,93.4,1.38,11900,115.966,1063.51
RHS 450x250x10.0,450,250,10,15,10,410,135,36900,14800,51700,165,105,195.6,499.95,332.65,1640,1180,33.64,80.91,33300,44.76,33255.24,2510.71,1986.7,78.36,275874.57,23.1,3520.51,715.11,1999.81,1330.6,840.5,312.5,1.219,1.128,48,88,3170.636,651.251,1193.96,469.96,312.69,3170.636,106,1.37,13500,101.481,1055.14
RHS 450x250x11.0,450,250,11,16.5,11,406,148,40200,16100,56300,165,104,195,546.21,363.03,1790,1290,36.93,88.82,36300,59.32,36240.68,2758.26,2158.32,78.11,300614.11,23.1,3848.38,780.6,2184.84,1452.1,906.6,343.75,1.221,1.126,52.58,96.58,3474.57,713.391,1310.371,513.44,341.24,3474.57,116.2,1.37,14800,92.568,1048.17
RHS 450x250x12.5,450,250,12.5,18.8,12.5,400,167,45000,18000,63000,164,104,194.2,614.34,407.62,2000,1440,41.89,100.53,40700,86.49,40613.51,3127.96,2407.21,77.73,336729.76,23.1,4332.23,876.8,2457.36,1630.47,1000,390.63,1.229,1.132,59.37,109.37,3925.994,805.584,1483.971,577.48,383.16,3925.994,131.1,1.37,16700,82.036,1037.72
RHS 450x250x14.2,450,250,14.2,21.3,14.2,393.2,189,50300,20000,70300,163,103,192.8,689.74,456.76,2240,1600,47.15,113.91,45600,125.87,45474.13,3544.32,2677.22,77.26,376206.39,23.1,4869.11,982.86,2758.97,1827.06,1097.7,443.75,1.232,1.142,66.97,123.77,4431.115,908.593,1679.24,648.36,429.36,4431.115,148.4,1.36,18900,71.958,1025.89
RHS 450x250x16.0,450,250,16,24,16,386,211,55700,22000,77700,162,102,191.4,767.49,507.2,2480,1760,52.56,127.96,50500,178.65,50321.35,3981.72,2949.56,76.75,416302.38,23.1,5424.34,1091.73,3069.97,2028.8,1191.97,500,1.238,1.153,74.88,138.88,4958.428,1015.952,1884.287,721.44,476.77,4958.428,165.6,1.36,21100,64.455,1013.36
RHS 500x200x8.0,500,200,8,12,8,468,109,34000,8140,42140,177,86.5,197,426.69,224.08,1360,814,18.62,73.37,21100,23.11,21076.89,3663.25,1430.14,103.68,394146.98,30.6,3801.6,806.66,1706.75,896.31,876.1,160,1.255,1.101,30.72,78.72,2555.607,416.801,1068.052,401.09,210.63,2555.607,85.6,1.38,10900,126.606,944.09
RHS 500x200x8.8,500,200,8.8,13.2,8.8,464.8,119,37200,8850,46050,177,86.1,196.8,466.82,244.76,1490,885,20.37,80.94,23000,30.66,22969.34,4020.22,1555.55,103.3,429721.07,30.5,4159.89,881.74,1867.26,979.03,950.57,176,1.253,1.106,33.65,86.45,2802.765,456.57,1172.947,438.81,230.07,2802.765,93.4,1.38,11900,115.966,938.51
RHS 500x200x10.0,500,200,10,15,10,460,135,41800,9890,51690,176,85.6,195.7,526.15,275.2,1670,989,23,91.8,25900,44.76,25855.24,4551.9,1738.05,102.72,481751.73,30.5,4689.8,992.44,2104.61,1100.8,1058,200,1.26,1.113,38,98,3170.636,515.574,1329.638,494.58,258.69,3170.636,106,1.37,13500,101.481,930.14
RHS 500x200x11.0,500,200,11,16.5,11,456,148,45500,10700,56200,175,85.2,194.6,574.82,300.04,1820,1070,25.03,100.61,28200,59.32,28140.68,4991.32,1885.09,102.23,523885.25,30.5,5124.48,1082.93,2299.28,1200.16,1143.65,220,1.263,1.122,41.58,107.58,3474.57,564.146,1459.617,540.33,282.04,3474.57,116.2,1.37,14800,92.568,923.17
RHS 500x200x12.5,500,200,12.5,18.8,12.5,450,167,51000,11900,62900,175,84.5,194.3,646.49,336.41,2040,1190,28.19,114.16,31500,86.49,31413.51,5643.87,2097.28,101.48,584984.92,30.5,5764.63,1215.64,2585.96,1345.63,1265.62,250,1.268,1.131,46.87,121.87,3925.994,635.987,1653.567,607.7,316.22,3925.994,131.1,1.37,16700,82.036,912.72
RHS 500x200x14.2,500,200,14.2,21.3,14.2,443.2,189,56900,13200,70100,174,83.8,193.1,725.8,376.33,2280,1320,31.75,128.86,35200,125.87,35074.13,6373.18,2325.95,100.6,651164.88,30.5,6472.79,1361.66,2903.19,1505.33,1394.63,284,1.273,1.14,52.77,137.97,4431.115,715.931,1871.902,682.25,353.75,4431.115,148.4,1.36,18900,71.958,900.89
RHS 500x200x16.0,500,200,16,24,16,436,211,63000,14500,77500,173,83,191.9,807.57,416.67,2520,1450,35.45,144.71,38900,178.65,38721.35,7132.83,2554.83,99.64,717661.49,30.4,7202.32,1510.38,3230.26,1668.51,1520.77,320,1.282,1.151,58.88,154.88,4958.428,798.868,2101.37,759.11,392.1,4958.428,165.6,1.36,21100,64.455,888.36
RHS 500x300x8.0,500,300,8,12,8,468,125,43700,20000,63700,187,126,225.5,525.09,370.01,1750,1330,33.94,71.67,42600,26.53,42573.47,2389.55,2203.77,92.59,353660.52,23.6,3819.65,771.29,2100.35,1480.06,876.1,360,1.2,1.113,46.72,78.72,2931.607,633.884,1068.052,493.58,347.81,2931.607,98.1,1.58,12500,126.4,1436.09
RHS 500x300x8.8,500,300,8.8,13.2,8.8,464.8,137,47800,21800,69600,187,126,225.5,574.88,404.84,1910,1450,37.16,78.89,46600,35.2,46564.8,2627.17,2403.56,92.44,386662.69,23.6,4182.73,843.92,2299.52,1619.37,950.57,396,1.204,1.117,51.25,86.45,3216.365,695.363,1172.947,540.39,380.55,3216.365,107.5,1.58,13700,115.328,1429.71
RHS 500x300x10.0,500,300,10,15,10,460,155,53800,24400,78200,186,126,224.7,648.65,456.35,2150,1630,41.82,89.54,52400,51.43,52348.57,2983.05,2696.59,92.21,435350.24,23.6,4721.2,951.33,2594.61,1825.41,1058,450,1.207,1.12,58,98,3640.636,786.928,1329.638,609.73,428.97,3640.636,121.7,1.57,15500,101.29,1420.14
RHS 500x300x11.0,500,300,11,16.5,11,456,170,58600,26600,85200,186,125,224.1,709.29,498.61,2350,1770,45.98,98.04,57300,68.2,57231.8,3279.05,2934.78,92.01,475171.88,23.6,5164.36,1039.45,2837.18,1994.44,1143.65,495,1.207,1.127,63.58,107.58,3991.57,862.636,1459.617,666.74,468.69,3991.57,133.4,1.57,17000,92.353,1412.17
RHS 500x300x12.5,500,300,12.5,18.8,12.5,450,192,65800,29800,95600,185,125,223.3,798.83,560.86,2630,1980,52.12,111.28,64400,99.51,64300.49,3722,3282.04,91.69,533615.54,23.6,5819.73,1169.26,3195.33,2243.45,1265.62,562.5,1.215,1.133,71.88,121.87,4513.494,975.181,1653.567,750.9,527.21,4513.494,150.7,1.57,19200,81.771,1400.22
RHS 500x300x14.2,500,300,14.2,21.3,14.2,443.2,217,73700,33200,106900,184,124,221.9,898.26,629.78,2950,2220,58.67,126.11,72200,144.96,72055.04,4222.26,3661.37,91.31,597967.56,23.7,6549.06,1312.94,3593.03,2519.12,1394.63,639,1.218,1.135,81.17,137.97,5098.515,1101.255,1871.902,844.36,591.99,5098.515,170.3,1.56,21700,71.889,1386.69
RHS 500x300x16.0,500,300,16,24,16,436,243,81800,36800,118600,183,123,220.5,1001.17,700.87,3270,2450,66.04,141.73,80300,205.96,80094.04,4749.64,4046.96,90.87,663901.6,23.7,7305.96,1461.11,4004.66,2803.49,1520.77,720,1.225,1.144,90.88,154.88,5710.428,1233.035,2101.37,941.1,658.82,5710.428,190.8,1.56,24300,64.198,1372.36
