Section,h[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
SHS 40x40x2.9,40,2.9,4.3,2.9,28.4,4.21,9.54,19.08,15,21.2,1.45,4.77,1.83,15.3,0.12,15.18,0.04,6.95,0.09,0.01,0.2,0.13,0.01,5.81,1.17,2.32,1.218,2.15,99.001,29.195,1.36,99.001,3.3,0.153,421,363.42,13.69
SHS 40x40x3.0,40,3,4.5,3,28,4.34,9.78,19.56,15,21.2,1.49,4.89,1.9,15.7,0.13,15.57,0.05,7.11,0.09,0.01,0.2,0.13,0.02,5.97,1.18,2.4,1.221,2.22,102.057,30.12,1.4,102.057,3.4,0.152,434,350.23,13.61
SHS 40x40x3.2,40,3.2,4.8,3.2,27.2,4.6,10.2,20.4,14.9,21.1,1.57,5.11,2,16.5,0.15,16.35,0.05,7.44,0.09,0.01,0.3,0.15,0.02,6.28,1.18,2.56,1.229,2.36,108.097,31.955,1.48,108.097,3.6,0.152,460,330.435,13.45
SHS 40x40x3.6,40,3.6,5.4,3.6,25.6,5.1,11.1,22.2,14.7,20.8,1.72,5.54,2.26,18.1,0.22,17.88,0.07,8.04,0.09,0.02,0.3,0.17,0.02,6.88,1.18,2.88,1.242,2.62,119.89,35.558,1.62,119.89,4,0.151,510,296.078,13.14
SHS 40x40x4.0,40,4,6,4,24,5.59,11.8,23.6,14.5,20.5,1.86,5.91,2.46,19.5,0.29,19.21,0.08,8.58,0.1,0.02,0.3,0.2,0.02,7.44,1.15,3.2,1.258,2.88,131.302,39.075,1.75,131.302,4.4,0.15,559,268.336,12.82
SHS 40x40x5.0,40,5,7.5,5,20,6.73,13.4,26.8,14.1,19.9,2.16,6.68,3.05,22.5,0.55,21.95,0.11,9.69,0.1,0.03,0.3,0.25,0.03,8.66,1,4,1.296,3.5,158.159,47.487,2.04,158.159,5.3,0.147,673,218.425,12.04
SHS 40x40x5.6,40,5.6,8.4,5.6,17.6,7.37,14.1,28.2,13.8,19.5,2.32,7.03,3.37,24,0.75,23.25,0.13,10.2,0.1,0.03,0.3,0.28,0.03,9.28,0.87,4.48,1.32,3.85,173.127,52.274,2.18,173.127,5.8,0.146,737,198.1,11.56
SHS 40x40x6.3,40,6.3,9.4,6.3,14.8,8.07,14.7,29.4,13.5,19.1,2.47,7.34,3.73,25.4,1.03,24.37,0.14,10.67,0.1,0.03,0.3,0.3,0.03,9.9,0.69,5.04,1.349,4.25,189.504,57.611,2.33,189.504,6.3,0.144,807,178.439,11.02
SHS 50x50x2.9,50,2.9,4.3,2.9,38.4,5.37,19.7,39.4,19.1,27,2.36,7.87,2.33,31.2,0.15,31.05,0.06,11.5,0.12,0.03,0.3,0.22,0.03,9.43,2.14,3.63,1.198,2.73,126.261,37.064,2.21,126.261,4.2,0.193,537,359.404,22.11
SHS 50x50x3.0,50,3,4.5,3,38,5.54,20.2,40.4,19.1,27,2.43,8.08,2.4,32.1,0.16,31.94,0.07,11.8,0.12,0.03,0.3,0.23,0.03,9.7,2.17,3.75,1.201,2.82,130.257,38.261,2.28,130.257,4.3,0.192,554,346.57,22.01
SHS 50x50x3.2,50,3.2,4.8,3.2,37.2,5.88,21.2,42.4,19,26.9,2.56,8.49,2.54,33.8,0.2,33.6,0.08,12.39,0.12,0.03,0.3,0.25,0.03,10.24,2.21,4,1.206,3,138.177,40.638,2.41,138.177,4.6,0.192,588,326.531,21.81
SHS 50x50x3.6,50,3.6,5.4,3.6,35.6,6.54,23.2,46.4,18.8,26.6,2.82,9.27,2.85,37.2,0.28,36.92,0.1,13.5,0.13,0.04,0.3,0.3,0.04,11.28,2.28,4.5,1.217,3.34,153.73,45.327,2.65,153.73,5.1,0.191,654,292.049,21.42
SHS 50x50x4.0,50,4,6,4,34,7.19,25,50,18.6,26.3,3.06,9.99,3.15,40.4,0.38,40.02,0.13,14.53,0.14,0.05,0.3,0.36,0.04,12.27,2.31,5,1.228,3.68,168.902,49.929,2.88,168.902,5.6,0.19,719,264.256,21.02
SHS 50x50x5.0,50,5,7.5,5,30,8.73,28.9,57.8,18.2,25.7,3.62,11.6,3.87,47.6,0.71,46.89,0.2,16.76,0.15,0.07,0.4,0.48,0.05,14.52,2.25,6.25,1.252,4.5,205.159,61.055,3.41,205.159,6.9,0.187,873,214.204,20.04
SHS 50x50x5.6,50,5.6,8.4,5.6,27.6,9.61,30.8,61.6,17.9,25.3,3.93,12.3,4.28,51.3,0.98,50.32,0.24,17.88,0.16,0.09,0.4,0.55,0.06,15.73,2.13,7,1.279,4.97,225.767,67.47,3.7,225.767,7.5,0.186,961,193.548,19.44
SHS 50x50x6.3,50,6.3,9.4,6.3,24.8,10.6,32.8,65.6,17.6,24.9,4.25,13.1,4.78,55.2,1.37,53.83,0.28,19,0.16,0.1,0.4,0.63,0.07,17,1.94,7.88,1.298,5.51,248.724,74.707,3.99,248.724,8.3,0.184,1060,173.585,18.76
SHS 50x50x7.1,50,7.1,10.7,7.1,21.6,11.6,34.5,69,17.2,24.3,4.57,13.8,5.3,58.9,1.9,57,0.31,20.05,0.16,0.11,0.4,0.69,0.07,18.27,1.66,8.88,1.324,6.09,273.529,82.652,4.29,273.529,9.1,0.182,1160,156.897,17.97
SHS 50x50x8.0,50,8,12,8,18,12.8,36,72,16.8,23.8,4.87,14.4,5.89,62.3,2.63,59.67,0.34,20.96,0.15,0.11,0.4,0.74,0.08,19.49,1.3,10,1.353,6.72,299.607,91.175,4.58,299.607,10,0.179,1280,139.844,17.09
SHS 60x60x2.9,60,2.9,4.3,2.9,48.4,6.53,35.2,70.4,23.2,32.8,3.48,11.7,2.8,55.3,0.18,55.12,0.08,17.22,0.15,0.05,0.3,0.33,0.04,13.91,3.4,5.22,1.189,3.31,153.521,44.934,3.27,153.521,5.1,0.233,653,356.815,32.53
SHS 60x60x3.0,60,3,4.5,3,48,6.74,36.2,72.4,23.2,32.8,3.58,12.1,2.9,56.9,0.2,56.7,0.09,17.69,0.15,0.05,0.3,0.35,0.04,14.33,3.46,5.4,1.184,3.42,158.457,46.402,3.37,158.457,5.3,0.232,674,344.214,32.41
SHS 60x60x3.2,60,3.2,4.8,3.2,47.2,7.16,38.2,76.4,23.1,32.7,3.79,12.7,3.09,60.2,0.24,59.96,0.11,18.62,0.16,0.06,0.3,0.39,0.05,15.16,3.56,5.76,1.194,3.64,168.257,49.321,3.56,168.257,5.6,0.232,716,324.022,32.17
SHS 60x60x3.6,60,3.6,5.4,3.6,45.6,7.98,41.9,83.8,22.9,32.4,4.19,14,3.45,66.5,0.34,66.16,0.14,20.4,0.17,0.08,0.3,0.47,0.06,16.76,3.74,6.48,1.197,4.06,187.57,55.096,3.94,187.57,6.3,0.231,798,289.474,31.7
SHS 60x60x4.0,60,4,6,4,44,8.79,45.4,90.8,22.7,32.1,4.58,15.1,3.81,72.5,0.46,72.04,0.18,22.07,0.18,0.1,0.3,0.56,0.07,18.3,3.87,7.2,1.212,4.48,206.502,60.783,4.3,206.502,6.9,0.23,879,261.661,31.22
SHS 60x60x5.0,60,5,7.5,5,40,10.7,53.3,106.6,22.3,31.5,5.46,17.8,4.71,86.4,0.88,85.52,0.29,25.8,0.21,0.16,0.4,0.78,0.09,21.89,4,9,1.23,5.5,252.159,74.623,5.14,252.159,8.4,0.227,1070,212.15,30.04
SHS 60x60x5.6,60,5.6,8.4,5.6,37.6,11.8,57.4,114.8,22,31.1,5.95,19.1,5.23,93.9,1.22,92.68,0.36,27.76,0.22,0.2,0.4,0.92,0.1,23.86,3.96,10.08,1.249,6.09,278.407,82.665,5.61,278.407,9.3,0.226,1180,191.525,29.32
SHS 60x60x6.3,60,6.3,9.4,6.3,34.8,13.1,61.6,123.2,21.7,30.7,6.49,20.5,5.81,102,1.7,100.3,0.44,29.79,0.22,0.24,0.4,1.06,0.12,25.99,3.81,11.34,1.268,6.77,307.944,91.802,6.11,307.944,10.3,0.224,1310,170.992,28.5
SHS 60x60x7.1,60,7.1,10.7,7.1,31.6,14.5,65.8,131.6,21.3,30.1,7.04,21.9,6.48,110,2.38,107.62,0.53,31.81,0.23,0.28,0.5,1.22,0.13,28.21,3.54,12.78,1.288,7.51,340.269,101.918,6.63,340.269,11.4,0.222,1450,153.103,27.55
SHS 60x60x8.0,60,8,12,8,28,16,69.7,139.4,20.9,29.6,7.61,23.2,7.22,118,3.32,114.68,0.61,33.71,0.23,0.32,0.5,1.36,0.15,30.43,3.14,14.4,1.311,8.32,374.807,112.884,7.15,374.807,12.6,0.219,1600,136.875,26.49
SHS 70x70x3.0,70,3,4.5,3,58,7.94,59,118,27.3,38.6,4.97,16.9,3.4,92.2,0.24,91.96,0.11,24.78,0.18,0.09,0.3,0.5,0.06,19.86,5.05,7.35,1.175,4.02,186.657,54.542,4.67,186.657,6.2,0.272,794,342.569,44.81
SHS 70x70x3.2,70,3.2,4.8,3.2,57.2,8.44,62.3,124.6,27.2,38.5,5.26,17.8,3.62,97.6,0.29,97.31,0.13,26.13,0.19,0.11,0.3,0.56,0.07,21.04,5.23,7.84,1.182,4.28,198.337,58.005,4.94,198.337,6.6,0.272,844,322.275,44.53
SHS 70x70x3.6,70,3.6,5.4,3.6,55.6,9.42,68.6,137.2,27,38.2,5.83,19.6,4.05,108,0.4,107.6,0.18,28.73,0.21,0.14,0.3,0.68,0.08,23.32,5.56,8.82,1.19,4.78,221.41,64.865,5.48,221.41,7.4,0.271,942,287.686,43.98
SHS 70x70x4.0,70,4,6,4,54,10.4,74.7,149.4,26.8,37.9,6.38,21.3,4.48,118,0.55,117.45,0.23,31.2,0.22,0.18,0.3,0.81,0.1,25.54,5.83,9.8,1.199,5.28,244.102,71.638,6,244.102,8.2,0.27,1040,259.615,43.42
SHS 70x70x5.0,70,5,7.5,5,50,12.7,88.5,177,26.4,37.3,7.69,25.3,5.54,142,1.05,140.95,0.39,36.84,0.26,0.3,0.4,1.15,0.13,30.76,6.25,12.25,1.216,6.5,299.159,88.19,7.23,299.159,10,0.267,1270,210.236,42.04
SHS 70x70x5.6,70,5.6,8.4,5.6,47.6,14.1,95.9,191.8,26.1,36.9,8.4,27.4,6.16,155,1.45,153.55,0.49,39.87,0.27,0.38,0.4,1.37,0.16,33.67,6.34,13.72,1.229,7.21,331.047,97.861,7.91,331.047,11.1,0.266,1410,188.652,41.2
SHS 70x70x6.3,70,6.3,9.4,6.3,44.8,15.6,104,208,25.8,36.5,9.2,29.7,6.9,169,2.03,166.97,0.62,43.08,0.29,0.47,0.5,1.62,0.18,36.87,6.32,15.44,1.241,8.03,367.164,108.897,8.66,367.164,12.2,0.264,1560,169.231,40.24
SHS 70x70x7.1,70,7.1,10.7,7.1,41.6,17.3,112,224,25.4,35.9,10.05,32,7.69,185,2.86,182.14,0.77,46.37,0.3,0.57,0.5,1.89,0.21,40.27,6.14,17.4,1.258,8.93,407.009,121.184,9.46,407.009,13.6,0.262,1730,151.445,39.13
SHS 70x70x8.0,70,8,12,8,38,19.2,120,240,25,35.4,10.92,34.2,8.6,200,4,196,0.93,49.59,0.31,0.68,0.5,2.17,0.24,43.76,5.78,19.6,1.28,9.92,450.007,134.592,10.28,450.007,15.1,0.259,1920,134.896,37.89
SHS 70x70x8.8,70,8.8,13.2,8.8,34.8,20.7,126,252,24.6,34.8,11.65,35.9,9.37,212,5.22,206.78,1.06,52.07,0.32,0.76,0.5,2.4,0.26,46.58,5.33,21.56,1.297,10.77,486.605,146.141,10.95,486.605,16.2,0.257,2070,124.155,36.79
SHS 80x80x3.2,80,3.2,4.8,3.2,67.2,9.72,95,190,31.3,44.3,6.97,23.7,4.16,148,0.33,147.67,0.16,34.91,0.23,0.17,0.3,0.75,0.09,27.87,7.23,10.24,1.176,4.92,228.417,66.688,6.55,228.417,7.6,0.312,972,320.988,58.89
SHS 80x80x3.6,80,3.6,5.4,3.6,65.6,10.9,105,210,31.1,44,7.74,26.2,4.66,164,0.47,163.53,0.22,38.5,0.25,0.23,0.3,0.92,0.11,30.96,7.75,11.52,1.182,5.5,255.25,74.633,7.28,255.25,8.6,0.311,1090,285.321,58.26
SHS 80x80x4.0,80,4,6,4,64,12,114,228,30.9,43.7,8.49,28.6,5.11,180,0.63,179.37,0.29,41.94,0.27,0.3,0.4,1.1,0.13,33.97,8.19,12.8,1.188,6.08,281.702,82.492,7.98,281.702,9.4,0.31,1200,258.333,57.62
SHS 80x80x5.0,80,5,7.5,5,60,14.7,137,274,30.5,43.1,10.28,34.2,6.41,217,1.21,215.79,0.49,49.87,0.31,0.5,0.4,1.6,0.19,41.12,9,16,1.202,7.5,346.159,101.758,9.66,346.159,11.5,0.307,1470,208.844,56.04
SHS 80x80x5.6,80,5.6,8.4,5.6,57.6,16.3,149,298,30.2,42.7,11.29,37.2,7.12,238,1.69,236.31,0.63,54.2,0.33,0.64,0.5,1.91,0.22,45.16,9.29,17.92,1.214,8.33,383.687,113.057,10.61,383.687,12.8,0.306,1630,187.73,55.08
SHS 80x80x6.3,80,6.3,9.4,6.3,54.8,18.1,162,324,29.9,42.3,12.38,40.5,7.94,262,2.37,259.63,0.81,58.87,0.36,0.81,0.5,2.28,0.26,49.64,9.46,20.16,1.226,9.29,426.384,125.993,11.67,426.384,14.2,0.304,1810,167.956,53.98
SHS 80x80x7.1,80,7.1,10.7,7.1,51.6,20.2,176,352,29.5,41.7,13.58,43.9,8.91,286,3.33,282.67,1.03,63.74,0.38,1.02,0.5,2.71,0.31,54.46,9.45,22.72,1.24,10.35,473.749,140.45,12.8,473.749,15.9,0.302,2020,149.505,52.71
SHS 80x80x8.0,80,8,12,8,48,22.4,189,378,29.1,41.2,14.85,47.3,9.87,312,4.68,307.32,1.28,68.63,0.39,1.25,0.6,3.17,0.35,59.49,9.22,25.6,1.258,11.52,525.207,156.3,13.98,525.207,17.6,0.299,2240,133.482,51.29
SHS 80x80x8.8,80,8.8,13.2,8.8,44.8,24.2,200,400,28.7,40.6,15.88,50,10.79,332,6.13,325.87,1.5,72.5,0.4,1.44,0.6,3.55,0.39,63.64,8.83,28.16,1.273,12.53,569.325,170.02,14.96,569.325,19,0.297,2420,122.727,50.03
SHS 80x80x10.0,80,10,15,10,40,26.9,214,428,28.2,39.9,17.32,53.5,12.14,360,8.76,351.24,1.8,77.51,0.41,1.68,0.6,4.07,0.44,69.28,8,32,1.295,14,632.636,189.948,16.28,632.636,21.1,0.294,2690,109.294,48.14
SHS 90x90x3.6,90,3.6,5.4,3.6,75.6,12.3,152,304,35.2,49.8,9.92,33.8,5.25,237,0.53,236.47,0.26,49.71,0.29,0.34,0.3,1.2,0.14,39.69,10.29,14.58,1.174,6.22,289.09,84.402,9.33,289.09,9.7,0.351,1230,285.366,74.54
SHS 90x90x4.0,90,4,6,4,74,13.6,166,332,35,49.5,10.9,37,5.8,260,0.72,259.28,0.34,54.27,0.31,0.45,0.4,1.45,0.17,43.61,10.95,16.2,1.179,6.88,319.302,93.346,10.25,319.302,10.7,0.35,1360,257.353,73.82
SHS 90x90x5.0,90,5,7.5,5,70,16.7,200,400,34.5,48.8,13.25,44.4,7.24,316,1.38,314.62,0.59,64.89,0.36,0.77,0.4,2.11,0.25,52.99,12.25,20.25,1.193,8.5,393.159,115.326,12.45,393.159,13.1,0.347,1670,207.784,72.04
SHS 90x90x5.6,90,5.6,8.4,5.6,67.6,18.6,218,436,34.3,48.5,14.58,48.5,8.03,347,1.92,345.08,0.77,70.76,0.39,1,0.5,2.54,0.3,58.33,12.8,22.68,1.203,9.45,436.327,128.253,13.71,436.327,14.6,0.346,1860,186.022,70.96
SHS 90x90x6.3,90,6.3,9.4,6.3,64.8,20.7,238,476,34,48.1,16.08,53,8.96,382,2.7,379.3,1.01,77.17,0.42,1.29,0.5,3.06,0.35,64.3,13.23,25.52,1.213,10.55,485.604,143.088,15.11,485.604,16.2,0.344,2070,166.184,69.72
SHS 90x90x7.1,90,7.1,10.7,7.1,61.6,23,260,520,33.6,47.5,17.65,57.7,10.08,419,3.81,415.19,1.31,83.93,0.45,1.65,0.6,3.66,0.42,70.78,13.47,28.75,1.227,11.77,540.489,159.717,16.63,540.489,18.1,0.342,2300,148.696,68.29
SHS 90x90x8.0,90,8,12,8,58,25.6,281,562,33.2,47,19.37,62.6,11.2,459,5.36,453.64,1.66,90.84,0.48,2.07,0.6,4.35,0.49,77.63,13.46,32.4,1.24,13.12,600.407,178.009,18.24,600.407,20.1,0.339,2560,132.422,66.69
SHS 90x90x8.8,90,8.8,13.2,8.8,54.8,27.8,299,598,32.8,46.4,20.79,66.5,12.27,492,7.03,484.97,1.98,96.41,0.49,2.44,0.6,4.94,0.55,83.34,13.21,35.64,1.253,14.29,652.045,193.899,19.58,652.045,21.8,0.337,2780,121.223,65.27
SHS 90x90x10.0,90,10,15,10,50,30.9,322,644,32.3,45.7,22.77,71.6,13.77,536,10.09,525.91,2.44,103.8,0.51,2.95,0.7,5.76,0.63,91.24,12.5,40.5,1.274,16,726.636,217.084,21.44,726.636,24.3,0.334,3090,108.091,63.14
SHS 100x100x3.6,100,3.6,5.4,3.6,85.6,13.7,212,424,39.2,55.4,12.37,42.3,5.88,328,0.59,327.41,0.3,62.36,0.32,0.49,0.3,1.52,0.18,49.49,13.19,18,1.17,6.94,322.93,94.171,11.63,322.93,10.8,0.391,1370,285.401,92.82
SHS 100x100x4.0,100,4,6,4,84,15.2,232,464,39.1,55.3,13.61,46.4,6.5,361,0.8,360.2,0.4,68.19,0.35,0.65,0.4,1.83,0.22,54.44,14.11,20,1.173,7.68,356.902,104.2,12.79,356.902,11.9,0.39,1520,256.579,92.02
SHS 100x100x5.0,100,5,7.5,5,80,18.7,279,558,38.6,54.6,16.59,55.9,8.02,439,1.55,437.45,0.7,81.91,0.42,1.13,0.4,2.7,0.32,66.35,16,25,1.187,9.5,440.159,128.893,15.59,440.159,14.7,0.387,1870,206.952,90.04
SHS 100x100x5.6,100,5.6,8.4,5.6,77.6,20.8,306,612,38.4,54.3,18.29,61.2,8.96,484,2.15,481.85,0.92,89.56,0.45,1.48,0.5,3.26,0.38,73.18,16.86,28,1.196,10.57,488.967,143.449,17.2,488.967,16.3,0.386,2080,185.577,88.84
SHS 100x100x6.3,100,6.3,9.4,6.3,74.8,23.2,336,672,38,53.7,20.21,67.1,10.06,534,3.03,530.97,1.21,97.98,0.49,1.93,0.5,3.95,0.46,80.85,17.62,31.5,1.205,11.81,544.824,160.183,19,544.824,18.2,0.384,2320,165.517,87.46
